"_id",text
5b6b312325dba37e949d01b8,@vkookminaf the worst  in my life is fact that i don't know my pup! but da didn't make me hate my mum! If i die tod… https://t.co/YT0PF1kjKk
5b6b312325dba37e949d01c1,you can never get time back. stop acting like you live twice https://t.co/e1Ux4MD0vX
5b6b312325dba37e949d01c7,Nothing sums up Unionism better than believing your vote is worth twice another persons
5b6b312325dba37e949d01d4,"""Jackson""/""You Only Live Twice"" was more successful in the U.K., reaching No.11 on the singles chart during a ninet… https://t.co/vTv8JWPFq5"
5b6b312325dba37e949d01dc,@btslaws not the only one. i was already into kpop by the time 1d was on that show
5b6b312325dba37e949d01e3,@RodgersToJordy_ I think this same thing at least twice a day
5b6b312325dba37e949d01e7,"ok kpop unpopular opinions, time to lose all 19 of the ppl who follow me lmao"
5b6b312325dba37e949d01ee,Don’t get a car before you get a house. Stop buying clothes. You got 300 shirts in ya closet that’s enough. Wash th… https://t.co/vS1efxNGSE
5b6b312325dba37e949d01ef,@Hodulousss the worst  in my life is fact that i don't know my pup! but da didn't make me hate my mum! If i die tod… https://t.co/CVx8lpuPm1
5b6b312325dba37e949d01f9,@Ben_1884 Yeah immediately after I would post a video asking for my fans to vote it would go down. Happened twice..… https://t.co/BjIf456tc1
5b6b312325dba37e949d01fc,I had a heart attack thinking it was Troye for a second. People are fucking disgusting
5b6b312325dba37e949d01fd,I swear not a day goes by that YouTube doesn't recommend at least 10 Kpop unpopular opinions video a day.
5b6b312325dba37e949d0201,@YahyaJummah_ the worst  in my life is fact that i don't know my pup! but da didn't make me hate my mum! If i die t… https://t.co/uC32ryeAlI
5b6b312325dba37e949d0203,@VEVOSpeed @supremelesy @GrizzlyEngel @AVGODz @speculawyer @TheRoot Do you happen to have the scores handy? And als… https://t.co/y0idY9bB8L
5b6b312325dba37e949d0209,@ScotInDortmund @Innealadair @Norbertswizzle Sadly I think they are too small fry to be allowed to profit: the big… https://t.co/jp7SypJbuP
5b6b312325dba37e949d020e,The accusation that Johnny Depp punched a crew member twice in the ribs is total bs. Even another cast member is de… https://t.co/YMMC4wkABF
5b6b312325dba37e949d020f,"Sh't Talk'n... ¹ Half Azz'd, Twice Bake'd Potato: https://t.co/EBQDa8rGeW via @YouTube"
5b6b312325dba37e949d0211,@mxhit I listen to\n\n- IRL\n- The Vergecast\n- Why'd you push that button?\n- Casey &amp; Candice's\n- The Daily by NY Times… https://t.co/AtebCw4ays
5b6b312325dba37e949d0215,"According to Salesforce Research, high-performing teams are at least twice as likely to be using intelligent sales… https://t.co/NJpStO5qI1"
