tweet,time,tweet_id,latitude,longitude
walking these streets like it's still a summer night ðŸŽ‰,8/24/2014 6:00,2621820172,38.28426382,-122.4487911
The view from above #viewfromabove #nofilter @ Fairmont San Francisco http://t.co/f9wqdUSs39,8/24/2014 6:00,14859389,37.79241348,-122.410493
Ayyye http://t.co/JyffQ9j6hg,8/24/2014 6:00,2153679246,38.45771909,-122.4213988
@jacksfilms #jackask why Is that piece of dog shit on ur face. No I just kid. Ind,8/24/2014 6:00,2744039270,37.38006555,-122.0616235
These flashbacks are killing me,8/24/2014 6:00,65249431,37.70389661,-122.4169237
That's the shit I do like... feeling safe and protected. ðŸ˜ðŸ˜ðŸ˜,8/24/2014 6:00,61303732,37.8623652,-122.2776915
@BCLA09 Helluva game.,8/24/2014 6:00,49456394,37.8355046,-122.212054
@drewwww since when did you join @twitch?,8/24/2014 6:00,1976841,37.77337331,-122.4122145
"When a pill bottle says ""avoid alcoholic beverages"" what they are REALLY saying is ""drink to enhance""",8/24/2014 6:00,287740733,37.7109384,-122.2160469
@brisenthh yesterday night I think you should see him before he leaves. He's leaving for 3 years he's ganna be in Maryland,8/24/2014 6:00,386815873,38.01468934,-122.0853694
ðŸ’ #vote5sos,8/24/2014 6:00,1059255943,37.7990796,-121.3099554
@trvpunzel what is even happening in that emoji... haha,8/24/2014 6:00,242974135,38.3350089,-122.3257433
I should be turnt up with @alwaysveronica_,8/24/2014 6:00,1690373707,37.54892903,-121.9691475
While I'm off chasing my own dreams Sailing around the world Please know that I'm yours to keep My beautiful girlâ¤ï¸ http://t.co/LiLHve0jpr,8/24/2014 6:00,445254186,38.65452715,-121.3235724
Thank god i made it home safe ðŸ™,8/24/2014 6:00,1717507640,37.46194636,-122.4283357
He's so majestic,8/24/2014 6:00,322156054,37.42564948,-121.8814992
@anniyaahhh @deopasquini_,8/24/2014 6:00,1358340630,38.57624071,-121.5336279
@drew08bro Abram says that all the time ðŸ˜‚ðŸ˜‚ðŸ˜­,8/24/2014 6:00,1060186471,37.47090875,-121.1422308
fiskers don't make noise when they start up.. just so you know,8/24/2014 6:00,219856158,37.79654251,-121.8964663
ðŸ‡ #vote5sos,8/24/2014 6:00,1059255943,37.7990796,-121.3099554
@ohyessgene @GeeveeThoo no but I had a feelin ðŸ˜„ I meeean it sure looks like it lol!,8/24/2014 6:00,38373148,38.00406635,-121.2752641
I just ordered 2 crapes;  a Cesar salad;  and garlic bread at 11:00pm #GrubHub,8/24/2014 6:00,25467404,37.72546803,-122.405785
ðŸ˜±ðŸ˜±ðŸ˜±ðŸ˜ðŸ˜ðŸ˜‹ðŸ˜‹ðŸ˜‹ðŸ˜‹ðŸŒšðŸŒšðŸ˜ðŸ’—ðŸŒš SLAAAAAY MEEEE . @NelleGoalie http://t.co/ftePykBpr5,8/24/2014 6:00,541420520,38.05446248,-121.3928586
@WillJPowers http://t.co/EC6CuhzF7t,8/24/2014 6:00,643163,37.56832411,-122.3162052
@jwyattsports Good write up as always. I think Jake got the message about sliding lol,8/24/2014 6:00,542162304,38.7207651,-121.4102772
Ullah What is that;  exactly?,8/24/2014 6:00,1709410190,38.0377874,-122.2627879
@myniggamyniggaa @terrableterravo @weiyonce @Nowhaale WHICH VIVIAN,8/24/2014 6:00,1260992934,37.38185875,-121.8628089
Sommige ontmoetingen gaan dieper dan andere. Njeru; have a save trip! #wgst http://t.co/AhhUmaNs4H,8/24/2014 6:00,59756778,37.39067585,-121.9744867
Like a rave;  but different. ðŸŒˆðŸŽ‰ @ The Exploratorium http://t.co/ZAF8gofyIu,8/24/2014 6:00,2356697137,37.80175917,-122.3970866
Pretty effed up,8/24/2014 6:00,1717507640,37.46180952,-122.4282215
